,0,1,2,3,4,5,6,7,date
0,0.45203803811217264,0.4212797390817292,0.39262512489774243,0.39541098921023166,0.3929685982712767,0.3604325773744639,0.3918420780845729,0.39200602945867935,2017-01-01
1,0.44240658780776976,0.4042600917808797,0.37286707248159817,0.37304875414961536,0.37755645453884085,0.34608355839980914,0.3733055104961812,0.3696694232862607,2017-01-08
2,0.4321166591860502,0.38714515957593465,0.3536125064663279,0.351389778988525,0.3627134346452193,0.3323902508874026,0.35564635488000407,0.34798576695962824,2017-01-15
3,0.4208564864086711,0.37025180268334307,0.33537147418568214,0.33109016008606507,0.3490045538885767,0.3197157750379225,0.33934401909417006,0.3276134989782557,2017-01-22
4,0.4083143036372897,0.35389688131955377,0.3186540229734115,0.3128059938013398,0.33699482756707755,0.3084232510520472,0.32487791099680746,0.30921105784161673,2017-01-29
5,0.3942435042039332,0.33842331540047205,0.30397743171252994,0.29718049872920305,0.3272635547393141,0.29889016221388137,0.3127329831891148,0.29344220753113504,2017-02-05
6,0.3793951964337152,0.3245730500707667,0.29196970852159226,0.2846597095777709,0.3206087469160991,0.2917139188508009,0.3034790891889568,0.2810522556261169,2017-02-12
7,0.3653003310665064,0.313399919942644,0.28334541063891827,0.2755355365211488,0.31799936748133406,0.28766383252218003,0.29775244348534413,0.27285024650116685,2017-02-19
8,0.3535106126633345,0.30596605989270675,0.27882139862067634,0.2700957880419283,0.32040892933371184,0.28751378956732054,0.2961910266211737,0.26964692074800434,2017-02-26
9,0.3455760743263344,0.3033313207948392,0.27911286943327906,0.26862736977243057,0.3288086453986939,0.2920356766290175,0.2994310540771283,0.27225103909846116,2017-03-05
10,0.34263395891360215,0.30599148697991463,0.28452417319302475,0.27119421579300546,0.34360171791636684,0.30150752721825036,0.3076728344353971,0.2809824080841835,2017-03-12
11,0.34487001704356446,0.31314215473879625,0.2944126473500417,0.2773463049623578,0.363882069736162,0.3150690305434259,0.32011189954925,0.29503378209896014,2017-03-19
12,0.3523363921771837,0.32379634984736794,0.308002651212194,0.2865614472939143,0.38855977659828655,0.33170003116037083,0.3358026919839518,0.31343965651335776,2017-03-26
13,0.36508522777542207,0.3369670980815137,0.3245185440873457,0.29831745280110167,0.4165449142429479,0.3503803736249119,0.35379965430476706,0.3352345266979432,2017-04-02
14,0.38294789030894866,0.3516399711960196,0.3431172214302365,0.31200203655072,0.4466436103042606,0.3700376012690222,0.37311416545523596,0.3594014758981917,2017-04-09
