,0
2017-01-01,0.430683632685246
2017-01-15,0.4610125250316088
2017-01-29,0.48811249241180765
2017-02-12,0.5142091979382948
2017-02-26,0.5415283047235219
2017-03-12,0.5718450958526505
2017-03-26,0.6046351134283188
2017-04-09,0.6386417684544555
2017-04-23,0.6726081625450873
2017-05-07,0.7051929334070343
2017-05-21,0.7345010918721431
2017-06-04,0.7584146789137653
2017-06-18,0.7748151230986888
2017-07-02,0.7818466950122233
2017-07-16,0.7798905164320197
2017-07-30,0.7704582459154699
2017-08-13,0.7550702706930484
2017-08-27,0.7351891650007295
2017-09-10,0.7116269339098859
2017-09-24,0.6847858520872867
2017-10-08,0.6550618005450141
2017-10-22,0.6229370600063404
2017-11-05,0.5902147930301493
2017-11-19,0.5597295384422312
2017-12-03,0.5343432204013278
2017-12-17,0.516828508502546
2017-12-31,0.508029840639661
2018-01-14,0.5069302175342217
2018-01-28,0.5124367494550703
2018-02-11,0.5234714428922153
2018-02-25,0.539438151267058
2018-03-11,0.5603155853953646
2018-03-25,0.5861161362452993
2018-04-08,0.6168283122160901
2018-04-22,0.6511773349062572
2018-05-06,0.6860221178361571
2018-05-20,0.718071300228028
2018-06-03,0.7440473062429045
2018-06-17,0.7620486139873658
2018-07-01,0.7727020247626468
2018-07-15,0.7769056688203263
2018-07-29,0.7755575370291466
2018-08-12,0.769521562082215
2018-08-26,0.7595833447379504
2018-09-09,0.746517513928039
2018-09-23,0.7310986839927032
2018-10-07,0.7140858142280317
2018-10-21,0.6961924361451588
2018-11-04,0.6781238879206077
2018-11-18,0.6605855060585137
2018-12-02,0.6441908664370091
2018-12-16,0.6292150651576999
2018-12-30,0.6158551713526149
2019-01-13,0.6043082541537826
2019-01-27,0.5949581302237078
2019-02-10,0.5890673553684146
2019-02-24,0.5881567174834736
2019-03-10,0.5937470393094763
2019-03-24,0.6069620337910918
2019-04-07,0.6265327085880348
2019-04-21,0.6502982709552867
2019-05-05,0.6760964132941771
2019-05-19,0.7017960054052045
2019-06-02,0.7255087247151908
2019-06-16,0.7454601192149768
2019-06-30,0.759876391404747
2019-07-14,0.7671837365140416
2019-07-28,0.7678535985862667
2019-08-11,0.7635552388378932
2019-08-25,0.755973063587962
2019-09-08,0.7467193564978623
2019-09-22,0.7364145027700203
2019-10-06,0.7249576313917084
2019-10-20,0.712231605666579
2019-11-03,0.6981293726902025
2019-11-17,0.6827369753500542
2019-12-01,0.6663141649750787
2019-12-15,0.6491268856029323
2019-12-29,0.6314732058940556
2020-01-12,0.614552305543927
2020-01-26,0.6005650469954686
2020-02-09,0.5917646022748053
2020-02-23,0.5903743668838252
2020-03-08,0.597297379696722
2020-03-22,0.6116208758874591
2020-04-05,0.6323000603929825
2020-04-19,0.6582792337630939
2020-05-03,0.6876402750405922
2020-05-17,0.7169924958315143
2020-05-31,0.7428012141217347
2020-06-14,0.7615398953097007
2020-06-28,0.771099479539284
2020-07-12,0.77239340606351
2020-07-26,0.766723214223711
2020-08-09,0.7553903550876043
2020-08-23,0.7396443126923685
2020-09-06,0.7205951432525979
2020-09-20,0.6993297625842259
2020-10-04,0.6769350908712307
2020-10-18,0.6545304193402216
2020-11-01,0.633345194784938
2020-11-15,0.6146322739954553
2020-11-29,0.599644513761848
2020-12-13,0.5891629467471506
2020-12-27,0.5819218399134317
2021-01-10,0.5761005895479809
2021-01-24,0.5698785818252594
2021-02-07,0.5621361203181138
2021-02-21,0.5556397315301602
2021-03-07,0.5544951882337674
2021-03-21,0.5628095114611328
2021-04-04,0.5838861318641904
2021-04-18,0.615291350744101
2021-05-02,0.6520970058112585
2021-05-16,0.6893647262019661
2021-05-30,0.7224250654329556
2021-06-13,0.7491144937238371
2021-06-27,0.7686333403821309
2021-07-11,0.7801955974893471
2021-07-25,0.7830992053056288
2021-08-08,0.7776846853301841
2021-08-22,0.7649982727294256
2021-09-05,0.7460995442603664
2021-09-19,0.7220775195351734
2021-10-03,0.6945237527981691
2021-10-17,0.6654510241016702
2021-10-31,0.636885135626783
2021-11-14,0.6108139702388204
2021-11-28,0.5882953277498975
2021-12-12,0.5694235504594051
2021-12-26,0.5542483838582596
2022-01-09,0.5428378168900228
2022-01-23,0.5359469166549821
2022-02-06,0.5352106900833237
2022-02-20,0.542321701522649
2022-03-06,0.5589445224023056
2022-03-20,0.5849498284406048
2022-04-03,0.617359951125111
2022-04-17,0.6529441031079066
2022-05-01,0.6884753003529691
2022-05-15,0.7212191633637124
2022-05-29,0.7494159674014849
2022-06-12,0.7714205148918958
2022-06-26,0.7855908357271209
2022-07-10,0.7914600415266648
2022-07-24,0.7914789334530561
2022-08-07,0.7885434490412772
2022-08-21,0.7855491499426329
2022-09-04,0.7845021178111419
2022-09-18,0.7846144352390416
2022-10-02,0.7845510095569828
2022-10-16,0.7829767480956153
